FID,osm_id,name,ref,type,oneway,bridge,maxspeed
2232,100428564.000000000000000,解放南路, ,secondary,1,0,0
2233,100428568.000000000000000,解放南路, ,secondary,1,0,0
2234,100429501.000000000000000,琼州道, ,tertiary,1,0,0
2235,100429502.000000000000000,琼州道, ,tertiary,1,0,0
2236,100611743.000000000000000,台儿庄路, ,tertiary,1,0,0
2237,100612577.000000000000000,围堤道, ,primary,1,0,0
2238,100612578.000000000000000,新围堤道, ,primary,1,1,0
2239,100612579.000000000000000,新围堤道, ,primary,1,1,0
2240,100613313.000000000000000,新围堤道辅路, ,tertiary,1,0,0
2241,100613314.000000000000000, , ,secondary_link,1,0,0
2242,100614614.000000000000000,新围堤道辅路, ,tertiary,1,0,0
2243,100615785.000000000000000,新围堤道 Xinwei Didao, ,tertiary,1,0,0
2244,100615790.000000000000000,新围堤道 Xinwei Didao, ,primary,1,0,0
2245,100615795.000000000000000,湘江道, ,tertiary,1,0,0
2246,100616270.000000000000000,新围堤道, ,primary,1,0,0
2247,100616489.000000000000000,光华桥, ,primary,1,1,0
2248,100616685.000000000000000,耳环路, ,tertiary,1,1,0
2249,100617040.000000000000000,耳环路, ,tertiary,1,0,0
2250,100617573.000000000000000,耳环路, ,tertiary,1,0,0
2251,100617574.000000000000000,耳环路, ,tertiary,1,1,0
2252,100618425.000000000000000,大沽南路 Da Gu Nan Lu, ,primary,1,1,0
2253,100618426.000000000000000,大沽南路, ,primary,1,0,0
2254,100618663.000000000000000,大沽南路, ,primary,1,0,0
